Make,Model,Trim,Year,Image,Type
Honda,Fit,,2015,,Compact Hatch
BMW,M2,,2016,,Sports Car
Chevrolet,Sonic,RS,2017,,Sport Compact Sedan
Mazda,MX-5 Miata,(ND) RF,2017,,Sports Car
Mitsubishi,Mirage,,2017,,
Ford,Focus,RS,2018,,Sport Compact Hatch
Volkswagen,Golf,R,2018,,Sport Compact Hatch
Hyundai,Veloster,N,2019,,Sport Compact Hatch
Infinity,Q60,,2022,,
Toyota,GR86,,2022,,Sport Compact Coupe
Acura,Integra,,2023,https://i.imgur.com/YXwtO4W.jpg,Sport Compact Sedan
Kia,EV6,GT,2023,,Sport Compact Crossover
Nissan,Versa,,2023,,
Nissan,Z,,2023,,
Toyota,Corolla,GR,2023,,Sport Compact Hatch
Honda,Civic,Type R,2023,,Sport Compact Hatch
Porsche,928,GTS,,,
Porsche,928,S,,,
Porsche,944,S2,,,
Saab,900,S,,,
Saturn,Ion,Redline,,,
Saturn,Sky,Red Line,,,Sports Car
Subaru,BRZ,,,,
Subaru,GLF,,,,Compact Coupe
Subaru,Impreza,WRX STi,,,
Subaru,SVX,,,,
Toyota,Celica,GT-S,,,
Toyota,Celica,Supra,,,
Toyota,Corolla,FX-16 (AE82),,,
Toyota,Supra,,,,
Toyota,Yaris,,,,Compact Hatch
Triumph,Stag,,,,
Triumph,TR6,,,,Sport Compact
Volkswagen,Jetta,GLI,,,
Volkswagen,Rabbit,GTI,,,Compact Hatch
